C1,C2,C3,P
0.0,0.0233,0.347,0
0.0,0.0465,0.3603,0
0.0,0.0465,0.3609,0
0.0,0.0,0.3573,0
0.0,0.0,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0233,0.3579,0
0.0,0.093,0.3603,0
0.0,0.2558,0.5091,0
0.0,0.0,0.3603,0
0.0,0.093,0.3603,0
0.0,0.093,0.5357000000000001,0
0.0,0.0233,0.3609,0
0.0,0.0233,0.35550000000000004,0
0.0,0.0465,0.3597,0
0.0,0.1628,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0,0.3573,0
0.09090000000000001,0.1628,0.3603,0
0.0,0.093,0.3603,0
0.09090000000000001,0.0,0.3603,0
0.0,0.0233,0.3603,0
0.0,0.0465,0.3452,0
0.0,0.0,0.3609,0
0.0,0.0465,0.3742,0
0.0,0.0465,0.3603,0
0.0,0.0233,0.3609,0
0.0,0.0233,0.3591,0
0.0,0.1163,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0233,0.3603,0
0.0,0.0,0.3603,0
0.0,0.1163,0.2811,0
0.0,0.0233,0.3603,0
0.0,0.0233,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0698,0.35309999999999997,0
0.0,0.1628,0.3609,0
0.0,0.41859999999999997,0.31620000000000004,0
0.0,0.0233,0.3301,0
0.0,0.0233,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0,0.3609,0
0.0,0.0698,0.3609,0
0.0,0.0,0.3597,0
0.0,0.0465,0.3489,0
0.0,0.0,0.3609,0
0.0,0.0465,0.3779,0
0.0,0.0233,0.3603,0
0.0,0.20929999999999999,0.3609,0
0.0,0.0698,0.3549,0
0.0,0.1395,0.4317,0
0.0,0.0,0.3603,0
0.18180000000000002,0.0233,0.3603,0
0.0,0.0233,0.3591,0
0.0,0.186,0.344,0
0.0,0.0465,0.3603,0
0.0,0.0233,0.3603,0
0.0,0.0233,0.3609,0
0.0,0.0233,0.347,0
0.0,0.0233,0.3603,0
0.0,0.0,0.3579,0
0.0,0.093,0.3609,0
0.0,0.3023,0.3603,0
0.0,0.3953,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0465,0.3603,0
0.0,0.1163,0.3603,0
0.0,0.1395,0.3603,0
0.0,0.1163,0.3603,0
0.0,0.0465,0.3815,0
0.0,0.0,0.3603,0
0.0,0.0,0.3603,0
0.0,0.0,0.3609,0
0.0,0.0,0.3597,0
0.0,0.0,0.3603,0
0.0,0.0698,0.3422,0
0.0,0.0233,0.35609999999999997,0
0.0,0.0233,0.3609,0
0.0,0.0233,0.3603,0
0.0,0.0,0.3579,0
0.0,0.0698,0.3603,0
0.0,0.0233,0.3603,0
0.0,0.0233,0.3609,0
0.0,0.0,0.3603,0
0.0,0.1395,0.36760000000000004,0
0.0,0.0698,0.3609,0
0.0,0.1628,0.3519,0
0.0,0.0465,0.3603,0
0.0,0.0233,0.34950000000000003,0
0.0,0.1163,0.3609,0
0.0,0.0,0.3609,0
0.0,0.0233,0.33740000000000003,0
0.0,0.0,0.3609,0
0.0,0.0465,0.3603,0
0.0,0.0465,0.3603,0
0.0,0.0698,0.12580000000000002,0
0.0,0.1628,0.3603,0
0.0,0.0,0.3609,0
0.0,0.0,0.3609,0
0.0,0.0,0.3603,0
0.0,0.0233,0.3446,0
0.2727,0.186,0.3609,0
